RGID,RGSM,RGLB,Lane,Read1File,Read2File
10,DSP-1001660006002-A-A04,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/bd29a37bc1eb46168c86ae320045e10a/DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=Avj5LyF1snRl1r8IRNYz7aiNKPw%3D,https://basespace-data-east.s3-external-1.amazonaws.com/bd29a37bc1eb46168c86ae320045e10a/DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=WDZfywKKiIsDmwFn0TA9cZYvLTY%3D
11,DSP-1001660006002-A-A10,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/4628c1d562514ee895a7ae32004604e4/DSP-1001660006002-A-A10_S10_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-A10_S10_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=Bkk9uIUqLzDHM8YQHzG5R7pLumQ%3D,https://basespace-data-east.s3-external-1.amazonaws.com/4628c1d562514ee895a7ae32004604e4/DSP-1001660006002-A-A10_S10_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-A10_S10_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=hIQdRfKwpwSohR53LE%2BsqCQd%2F2M%3D
12,DSP-1001660006002-A-D03,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/bae1716fc806484382a2ae320046bf20/DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=ba%2F0KiMoW5SDSDKoy3a9uljXJeI%3D,https://basespace-data-east.s3-external-1.amazonaws.com/bae1716fc806484382a2ae320046bf20/DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=L732Rb5M%2FMFbvHfFY6bux%2F9rvB4%3D
13,DSP-1001660006002-A-E08,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/1c07f31ec8b9440295d4ae3200472c45/DSP-1001660006002-A-E08_S56_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-E08_S56_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=dxdFcaqKF9qSBhZUcDJ5t7Ew7XA%3D,https://basespace-data-east.s3-external-1.amazonaws.com/1c07f31ec8b9440295d4ae3200472c45/DSP-1001660006002-A-E08_S56_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-E08_S56_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=ptDbL%2BA0Z2aDbYt5yuObq43T6Bg%3D
14,DSP-1001660006002-A-H01,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/c37f80396fa4473b9ba9ae3200480d31/DSP-1001660006002-A-H01_S85_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-H01_S85_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=GuNWcpPKVD8yz63J8lMDX0tZd0Y%3D,https://basespace-data-east.s3-external-1.amazonaws.com/c37f80396fa4473b9ba9ae3200480d31/DSP-1001660006002-A-H01_S85_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-H01_S85_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=w%2FUXDndEhBBLaNlr0%2B5mPPdqaC4%3D
15,DSP-1001660006002-A-B09,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/f6557103d8fe49a09972ae3200465217/DSP-1001660006002-A-B09_S21_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-B09_S21_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=XFD0cCnzNUOkom7QECyHt5KRj0o%3D,https://basespace-data-east.s3-external-1.amazonaws.com/f6557103d8fe49a09972ae3200465217/DSP-1001660006002-A-B09_S21_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-B09_S21_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=iSfBzx8kUhOSDZY9w%2BeZLJlU%2FII%3D
16,DSP-1001660006002-A-E04,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/2112be8acfa14f99bab1ae320047127b/DSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=0RPIp0FXNs7F85tg6WXY7gSlUuI%3D,https://basespace-data-east.s3-external-1.amazonaws.com/2112be8acfa14f99bab1ae320047127b/DSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=icTISsULEj2amPpfMQPGlz3z%2BD0%3D
17,DSP-1001660006002-A-A11,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/944c6770ab8244d589f4ae3200460bb9/DSP-1001660006002-A-A11_S11_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A11_S11_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=c8%2FLRFDQCYZ%2FisFFat2WYWUoStc%3D,https://basespace-data-east.s3-external-1.amazonaws.com/944c6770ab8244d589f4ae3200460bb9/DSP-1001660006002-A-A11_S11_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A11_S11_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=UcJj3iUesIFsoWM9LzZsM9IKNbE%3D
18,DSP-1001660006002-A-G07,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/0832e8fe6258470eb366ae320047dc24/DSP-1001660006002-A-G07_S79_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-G07_S79_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=PgKTYsuyJcRVjvZ9XGAH5ly6AS8%3D,https://basespace-data-east.s3-external-1.amazonaws.com/0832e8fe6258470eb366ae320047dc24/DSP-1001660006002-A-G07_S79_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-G07_S79_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=avGgXsUT6eIzR9whhEQNk%2F0%2BXuA%3D
19,DSP-1001660006002-A-C10,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/852565b01d5c456eaf0bae3200469fb9/DSP-1001660006002-A-C10_S34_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-C10_S34_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=cSl%2FQA3Bx%2FbarCEWjD0yySEonSg%3D,https://basespace-data-east.s3-external-1.amazonaws.com/852565b01d5c456eaf0bae3200469fb9/DSP-1001660006002-A-C10_S34_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-C10_S34_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=qnKXfEp1%2Bpu4zuEefk6ixYDTTnM%3D
20,DSP-1001660006002-A-A09,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/a6c243711454437f9008ae320045ff41/DSP-1001660006002-A-A09_S9_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A09_S9_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=N3aUqlOF8NcEStEqQ5tq161V3l0%3D,https://basespace-data-east.s3-external-1.amazonaws.com/a6c243711454437f9008ae320045ff41/DSP-1001660006002-A-A09_S9_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A09_S9_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=Tui3YzH2Zpj52SvjtvUvtihL454%3D
21,DSP-1001660006002-A-D07,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/9c8cecfa889d474ca564ae320046da47/DSP-1001660006002-A-D07_S43_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-D07_S43_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=86ncDWZG%2FLl1vgZjr3pdbhpFPuU%3D,https://basespace-data-east.s3-external-1.amazonaws.com/9c8cecfa889d474ca564ae320046da47/DSP-1001660006002-A-D07_S43_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-D07_S43_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=JtmoAB%2F6RtdXJzaQE%2BfRS%2BjM5ck%3D
22,DSP-1001660006002-A-A01,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/aa048fe872a949b98c3cae320045c352/DSP-1001660006002-A-A01_S1_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A01_S1_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=oq87KvmbYFmlroJvxr3ZXLG4aDM%3D,https://basespace-data-east.s3-external-1.amazonaws.com/aa048fe872a949b98c3cae320045c352/DSP-1001660006002-A-A01_S1_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A01_S1_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=HOmUUJgyxdPXP042sQ9m9B6a1D8%3D
23,DSP-1001660006002-A-G04,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/fd27af99a97748dc8e2bae320047c5e3/DSP-1001660006002-A-G04_S76_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-G04_S76_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=rW%2B2PEVjn3UYc4s%2FPoaScbycMrQ%3D,https://basespace-data-east.s3-external-1.amazonaws.com/fd27af99a97748dc8e2bae320047c5e3/DSP-1001660006002-A-G04_S76_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-G04_S76_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=BwvoLMUetkzS9WTIrAor7VI%2BM5Q%3D
24,DSP-1001660006002-A-A12,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/5118c497f20c4596a021ae32004613bf/DSP-1001660006002-A-A12_S12_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A12_S12_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=m7saVTKmUTHyhAiuU1NZsN6E3tQ%3D,https://basespace-data-east.s3-external-1.amazonaws.com/5118c497f20c4596a021ae32004613bf/DSP-1001660006002-A-A12_S12_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617270&response-content-disposition=filename%3DDSP-1001660006002-A-A12_S12_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=zK9yrNKI4t5JVF%2Bl0MuH%2FkDzmw0%3D
25,DSP-1001660006002-A-G01,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/86451e35eae04cd396f4ae320047b460/DSP-1001660006002-A-G01_S73_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-G01_S73_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=j7ifF54oBj6asawB9N8NjCN8Kpo%3D,https://basespace-data-east.s3-external-1.amazonaws.com/86451e35eae04cd396f4ae320047b460/DSP-1001660006002-A-G01_S73_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-G01_S73_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=JKxDlgaFQm%2BEn%2FNioBbJuTCAqVM%3D
26,DSP-1001660006002-A-G06,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/4bcb86b1b12d4ea28863ae320047d5c7/DSP-1001660006002-A-G06_S78_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-G06_S78_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=fkM0D9mo%2FUJoiWuUEtowbWdrQaA%3D,https://basespace-data-east.s3-external-1.amazonaws.com/4bcb86b1b12d4ea28863ae320047d5c7/DSP-1001660006002-A-G06_S78_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-G06_S78_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=lg25cLUgYpquOLUn57vTjTNqF18%3D
27,DSP-1001660006002-A-E01,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/bb843d83b0114e7b9cc7ae320046ffb4/DSP-1001660006002-A-E01_S49_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-E01_S49_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=eFo8KZSX%2FYLAr3Sy%2BMdi00UvDIs%3D,https://basespace-data-east.s3-external-1.amazonaws.com/bb843d83b0114e7b9cc7ae320046ffb4/DSP-1001660006002-A-E01_S49_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-E01_S49_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=mJLCTtcyaeS7x%2F0G1MoqV58Ix2Y%3D
28,DSP-1001660006002-A-D04,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/eed044e26b224bdd9242ae320046c756/DSP-1001660006002-A-D04_S40_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-D04_S40_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=IqF7VXrxwL%2FZeJkS1K6c%2FmBzdH4%3D,https://basespace-data-east.s3-external-1.amazonaws.com/eed044e26b224bdd9242ae320046c756/DSP-1001660006002-A-D04_S40_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-D04_S40_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=O5g1GBQ8NNf2u6WZLBQxwQEFs5A%3D
29,DSP-1001660006002-A-C11,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/0f7c9e093964448cabe4ae320046a532/DSP-1001660006002-A-C11_S35_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-C11_S35_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=swk3aAcv22LPUsM37E0Elr%2B%2F34I%3D,https://basespace-data-east.s3-external-1.amazonaws.com/0f7c9e093964448cabe4ae320046a532/DSP-1001660006002-A-C11_S35_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617271&response-content-disposition=filename%3DDSP-1001660006002-A-C11_S35_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=YsASId51qM%2BaVbyCwlvghst8IAA%3D
